height,miner,signal
681843,SlushPool,True
681844,F2Pool,True
681845,Binance Pool,False
681846,BTC.com,False
681847,Binance Pool,False
681848,Binance Pool,False
681849,1THash,False
681850,F2Pool,True
681851,ViaBTC,False
681852,1THash,False
681853,AntPool,False
681854,AntPool,True
681855,BTC.com,False
681856,Poolin,False
681857,F2Pool,True
681858,Poolin,False
681859,Foundry USA,True
681860,SlushPool,True
681861,ViaBTC,False
681862,1THash,False
681863,SlushPool,True
681864,Poolin,False
681865,F2Pool,True
681866,Poolin,True
681867,AntPool,True
681868,AntPool,True
681869,F2Pool,True
681870,SBI Crypto,False
681871,BTC.TOP,False
681872,Poolin,False
681873,Poolin,True
681874,ViaBTC,False
681875,SlushPool,True
681876,EMCDPool,False
681877,ViaBTC,False
681878,F2Pool,True
681879,SlushPool,True
681880,Binance Pool,False
681881,BTC.com,False
681882,Poolin,False
681883,F2Pool,True
681884,Huobi Pool,False
681885,F2Pool,True
681886,OKKONG,False
681887,F2Pool,True
681888,AntPool,False
681889,ViaBTC,False
681890,BTC.TOP,False
681891,1THash,False
681892,1THash,True
681893,Huobi Pool,False
681894,Poolin,False
681895,SBI Crypto,False
681896,Binance Pool,False
681897,Binance Pool,False
681898,AntPool,True
681899,Poolin,False
681900,Binance Pool,False
681901,BTC.com,False
681902,SBI Crypto,False
681903,AntPool,True
681904,Rawpool,False
681905,Poolin,False
681906,Binance Pool,False
681907,AntPool,True
681908,Binance Pool,False
681909,Poolin,True
681910,Huobi Pool,False
681911,F2Pool,True
681912,Poolin,False
681913,Foundry USA,True
681914,Poolin,True
681915,ViaBTC,False
681916,BTC.TOP,False
681917,Poolin,True
681918,Poolin,True
681919,AntPool,True
681920,Huobi Pool,False
681921,Poolin,False
681922,Binance Pool,False
681923,WAYI.CN,False
681924,F2Pool,True
681925,BTC.com,False
681926,Poolin,True
681927,Binance Pool,False
681928,Binance Pool,False
681929,Binance Pool,False
681930,BTC.TOP,False
681931,AntPool,True
681932,AntPool,True
681933,F2Pool,True
681934,AntPool,True
681935,Poolin,False
681936,BTC.TOP,False
681937,SlushPool,True
681938,SlushPool,True
681939,F2Pool,True
681940,Poolin,False
681941,Binance Pool,False
681942,AntPool,True
681943,Huobi Pool,False
681944,BTC.com,False
681945,Poolin,False
681946,Binance Pool,False
681947,Rawpool,False
681948,Foundry USA,True
681949,ViaBTC,False
681950,F2Pool,True
681951,F2Pool,True
681952,F2Pool,True
681953,AntPool,True
681954,Binance Pool,False
681955,EMCDPool,False
681956,F2Pool,True
681957,AntPool,True
681958,Poolin,True
681959,AntPool,True
681960,TMSPool,False
681961,BTC.TOP,False
681962,AntPool,True
681963,AntPool,True
681964,Huobi Pool,False
681965,Foundry USA,True
681966,BTC.com,False
681967,SlushPool,True
681968,Foundry USA,True
681969,ViaBTC,False
681970,Binance Pool,False
681971,BTC.com,False
681972,ViaBTC,False
681973,F2Pool,True
681974,BTC.com,False
681975,ArkPool,False
681976,Binance Pool,False
681977,Binance Pool,False
681978,F2Pool,True
681979,ViaBTC,False
681980,SBI Crypto,False
681981,BTC.com,False
681982,Binance Pool,False
681983,AntPool,True
681984,Foundry USA,True
681985,Binance Pool,False
681986,AntPool,True
681987,Huobi Pool,False
681988,Binance Pool,False
681989,AntPool,True
681990,Poolin,True
681991,Poolin,True
681992,1THash,True
681993,Foundry USA,True
681994,Rawpool,False
681995,OKExPool,False
681996,Poolin,False
681997,1THash,True
681998,Huobi Pool,False
681999,1THash,True
682000,BTCPool (unidentified),False
682001,AntPool,True
682002,Poolin,False
682003,BTC.com,False
682004,AntPool,True
682005,F2Pool,True
682006,SpiderPool,False
682007,Poolin,True
682008,Binance Pool,False
682009,BTC.com,False
682010,F2Pool,True
682011,F2Pool,True
682012,AntPool,True
682013,BTC.com,False
682014,F2Pool,True
682015,BTC.com,True
682016,F2Pool,True
682017,BTC.com,False
682018,AntPool,True
682019,AntPool,True
682020,Poolin,False
682021,Binance Pool,False
682022,SlushPool,True
682023,Binance Pool,False
682024,Foundry USA,True
682025,ViaBTC,False
682026,Poolin,False
682027,Binance Pool,False
682028,AntPool,True
682029,AntPool,True
682030,1THash,True
682031,ViaBTC,False
682032,AntPool,True
682033,1THash,False
682034,ViaBTC,False
682035,BTC.com,False
682036,BTC.com,False
682037,Poolin,True
682038,Poolin,False
682039,F2Pool,True
682040,SlushPool,True
682041,F2Pool,True
682042,Poolin,False
682043,F2Pool,True
682044,Binance Pool,False
682045,1THash,False
682046,BTC.TOP,False
682047,BTC.com,False
682048,AntPool,True
682049,F2Pool,True
682050,F2Pool,True
682051,AntPool,True
682052,BTC.TOP,False
682053,BTCPool (unidentified),False
682054,AntPool,True
682055,Rawpool,False
682056,ViaBTC,False
682057,Binance Pool,False
682058,Poolin,True
682059,AntPool,True
682060,F2Pool,True
682061,F2Pool,True
682062,SlushPool,True
682063,AntPool,True
682064,AntPool,True
682065,AntPool,True
682066,F2Pool,True
682067,AntPool,True
682068,F2Pool,True
682069,Poolin,True
682070,BTC.com,False
682071,Poolin,False
682072,Poolin,False
682073,F2Pool,True
682074,Binance Pool,False
682075,Rawpool,False
682076,F2Pool,True
682077,BTC.TOP,False
682078,AntPool,True
682079,Poolin,True
682080,F2Pool,True
682081,F2Pool,True
682082,Huobi Pool,False
682083,BTC.com,False
682084,ViaBTC,False
682085,Huobi Pool,False
682086,Binance Pool,False
682087,AntPool,True
682088,AntPool,True
682089,Foundry USA,True
682090,AntPool,True
682091,Binance Pool,False
682092,BTC.com,False
682093,Poolin,False
682094,SBI Crypto,False
682095,Binance Pool,False
682096,ViaBTC,False
682097,AntPool,True
682098,BTC.com,False
682099,Foundry USA,True
682100,SpiderPool,False
682101,Binance Pool,False
682102,SlushPool,True
682103,AntPool,True
682104,SlushPool,True
682105,OKKONG,False
682106,SBI Crypto,False
682107,F2Pool,True
682108,AntPool,True
682109,Binance Pool,False
682110,F2Pool,True
682111,ViaBTC,False
682112,F2Pool,True
682113,Poolin,False
682114,Huobi Pool,False
682115,BTC.com,False
682116,AntPool,True
682117,AntPool,True
682118,F2Pool,True
682119,AntPool,True
682120,F2Pool,True
682121,Poolin,True
682122,AntPool,True
682123,F2Pool,True
682124,F2Pool,False
682125,AntPool,True
682126,SpiderPool,False
682127,Binance Pool,False
682128,AntPool,True
682129,Binance Pool,False
682130,AntPool,True
682131,Binance Pool,False
682132,F2Pool,True
682133,Binance Pool,False
682134,1THash,False
682135,SlushPool,True
682136,AntPool,True
682137,F2Pool,True
682138,ViaBTC,False
682139,BTC.TOP,False
682140,AntPool,True
682141,AntPool,True
682142,Foundry USA,True
682143,BTC.com,False
682144,Huobi Pool,False
682145,Binance Pool,False
682146,Binance Pool,False
682147,ViaBTC,False
682148,AntPool,True
682149,ViaBTC,False
682150,Huobi Pool,False
682151,AntPool,True
682152,SBI Crypto,False
682153,Poolin,False
682154,F2Pool,True
682155,1THash,True
682156,Binance Pool,False
682157,Huobi Pool,False
682158,Binance Pool,False
682159,Huobi Pool,False
682160,Binance Pool,False
682161,AntPool,True
682162,ViaBTC,False
682163,1THash,True
682164,Poolin,True
682165,SlushPool,True
682166,EMCDPool,False
682167,F2Pool,True
682168,F2Pool,True
682169,Poolin,True
682170,MARA Pool,False
682171,SlushPool,True
682172,F2Pool,True
682173,F2Pool,True
